word,translation,pronunciation,partOfSpeech,definition,exampleSentence
shop,商店,/ʃɑp/,noun,"a fun place where you can buy toys, clothes, and all sorts of things",Let's go to the shop after school.
store,商店,/stɔr/,noun,"a place full of things you can buy, like a big treasure box",This store has great prices.
market,市场,/ˈmɑrkɪt/,noun,"a busy place with lots of people selling fresh fruits, vegetables, and yummy food",The market is busy on weekends.
supermarket,超市,/ˈsuːpərmɑːrkɪt/,noun,a huge store with long aisles where you push a cart and fill it with groceries,I buy groceries at the supermarket every week.
bakery,面包店,/ˈbeɪkəri/,noun,a magical place that smells like fresh bread and cookies - you can buy warm pastries here,The bakery smells amazing in the morning.
pharmacy,药店,/ˈfɑːrməsi/,noun,a special shop where you get medicine when you feel sick,Can you stop at the pharmacy for me?
drugstore,药店,/ˈdrəgˌstɔr/,noun,"a shop that sells medicine, bandages, and other things to help you feel better",I need to pick up medicine at the drugstore.
bookstore,书店,/ˈbʊkˌstɔr/,noun,a quiet place filled with shelves of books - perfect for finding your next adventure,She spends hours in the bookstore.
shopkeeper,店主,/ˈʃɑpˌkipər/,noun,the friendly person who helps you find things and takes your money at the shop,The shopkeeper helped me find what I needed.
butcher,肉贩,/ˈbʊʧər/,noun,a person who cuts meat into pieces so you can cook it at home,The butcher cuts fresh meat every day.
baker,面包师,/ˈbeɪkər/,noun,a person who wakes up early to make delicious bread and cakes,The baker makes fresh bread early in the morning.
pineapple,菠萝,/ˈpaɪnæpl/,noun,a spiky yellow fruit that looks like a crown and tastes super sweet,Pineapple is my favorite tropical fruit.
banana,香蕉,/bəˈnænə/,noun,a long yellow fruit that monkeys love - peel it and eat it!,I eat a banana for breakfast.
lemon,柠檬,/ˈlɛmən/,noun,a bright yellow fruit that makes your face scrunch up because it's so sour,Add some lemon to your tea.
strawberry,草莓,/ˈstrɔːberi/,noun,a tiny red fruit with seeds on the outside - perfect for summer,Strawberries are sweet in summer.
orange,橙子,/ˈɔrɪnʤ/,noun,a round fruit you can peel - it's juicy and makes great juice,Would you like an orange?
peach,桃子,/piʧ/,noun,"a soft, fuzzy fruit that's super sweet and juicy",This peach is so juicy!
pear,梨子,/pɛr/,noun,a fruit shaped like a teardrop - sweet and crunchy,I prefer pears to apples.
apple,苹果,/ˈæpəl/,noun,a crunchy fruit that can be red or green - great for snacks,An apple a day keeps the doctor away.
grapes,葡萄,/greɪps/,noun,tiny round fruits that grow in bunches - pop them in your mouth!,These grapes are delicious.
tomato,番茄,/təˈmɑˌtoʊ/,noun,a red or yellow fruit that's actually a vegetable - great in salads and pasta,Tomatoes are red and juicy.
carrot,胡萝卜,/ˈkɛrət/,noun,an orange vegetable that grows underground - rabbits love them and they help you see in the dark,Rabbits love to eat carrots.
onion,洋葱,/ˈənjən/,noun,a round vegetable with layers - it makes you cry when you cut it,Onions make me cry when I cut them.
