word,translation,pronunciation,partOfSpeech,definition,exampleSentence
pineapple,菠萝,/ˈpaɪnæpl/,noun,,Pineapple is my favorite tropical fruit.
banana,香蕉,/bəˈnænə/,noun,,I eat a banana for breakfast.
lemon,柠檬,/ˈlɛmən/,noun,,Add some lemon to your tea.
strawberry,草莓,/ˈstrɔːberi/,noun,,Strawberries are sweet in summer.
orange,橙子,/ˈɔrɪnʤ/,noun,,Would you like an orange?
peach,桃子,/piʧ/,noun,,This peach is so juicy!
pear,梨子,/pɛr/,noun,,I prefer pears to apples.
apple,苹果,/ˈæpəl/,noun,,An apple a day keeps the doctor away.
grapes,葡萄,/greɪps/,noun,,These grapes are delicious.
tomato,番茄,/təˈmɑˌtoʊ/,noun,,Tomatoes are red and juicy.
carrot,胡萝卜,/ˈkɛrət/,noun,,Rabbits love to eat carrots.
onion,洋葱,/ˈənjən/,noun,,Onions make me cry when I cut them.
bell pepper,甜椒,/bɛl ˈpɛpər/,noun,,Bell peppers come in different colors.
potato,土豆,/pəˈteɪˌtoʊ/,noun,,I like baked potatoes.
lettuce,生菜,/ˈlɛtəs/,noun,,Lettuce is fresh and green.
cake,蛋糕,/keɪk/,noun,,Happy birthday! Here's your cake.
